ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20499,Total amount (number of units),Part reference (summarized representation types),Shows how often the relevant part is used in reports (summarized parts list) or in the enclosure legend.,No category,Integer,Not defined,No,Yes,ARTICLEREF_COUNT_TOTAL
20500,Total cable length,Part reference (summarized representation types),"Placeholder for the summarized parts list, for one cable part, this adds up all lengths of the cables taken into consideration in the report block and for which this cable part is entered. Every cable is considered only once here. The system recognizes a cable part by the fact that the product group ""Cables"" and the product subgroup ""Undefined"" are specified on the part.",No category,Decimal number,Not defined,No,Yes,ARTICLEREF_CABLE_LENGTH_SUM
20503,Total purchase price Currency 1,Part reference (summarized representation types),Total purchase price of the required packaging (currency 1),No category,Decimal number,Not defined,No,Yes,ARTICLEREF_TOTALPURCHASEPRICE_1
20504,Total purchase price Currency 2,Part reference (summarized representation types),Total purchase price of the required packaging (currency 2),No category,Decimal number,Not defined,No,Yes,ARTICLEREF_TOTALPURCHASEPRICE_2
20513,Total length with unit of the project,Part reference (summarized representation types),"This property totals up the lengths of all the functions (for example, cables, connections, routing paths, busbars, etc.) having the same part. The unit of length is specified in the project settings for cables. Only at connections does the unit come from the project settings for connections. You can use the property in forms for the summarized parts list, for example in calculation formulas for calculating the order length.",No category,Value with unit,Not defined,No,Yes,ARTICLEREF_LENGTH_SUM
20514,Total number of packagings,Part reference (summarized representation types),,No category,Integer,Not defined,No,Yes,ARTICLEREF_NUMBEROFPACKAGES
