ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
20022,Function: Connection point designation,Connection point,Shows the connection point designations of the function. The index can be used to define a max. of 100 sets of connection point designations.,No category,Monolingual text,Not defined,"Yes, 1000",No,FUNC_CONNECTIONDESIGNATION
20023,Function: Connection point description,Connection point,Shows the connection point descriptions of the function. The index can be used to define a max. of 100 sets of connection point descriptions.,No category,Monolingual text,Not defined,"Yes, 1000",No,FUNC_CONNECTIONDESCRIPTION
20028,Connection point designation,Connection point,Shows the connection point designations of a connection point. A maximum of 100 connection point designations can be defined by using the index.,No category,Monolingual text,Not defined,"Yes, 100",Yes,FUNC_TERMINALDESIGNATION
20029,Connection point description,Connection point,Shows the connection point descriptions of a connection point. A maximum of 100 connection point descriptions can be defined by using the index.,No category,Monolingual text,Not defined,"Yes, 100",Yes,FUNC_TERMINALDESCRIPTION
20295,Connection point cross-section / diameter,Connection point,Shows the connection point cross-sections / diameters of the function. The index can be used to define a max. of 100 sets of connection point cross-sections / diameters.,No category,Value with unit,Not defined,"Yes, 1000",No,FUNC_CONNECTIONCROSSSECTIONS
