ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
24000,Target of interruption point,Interruption point,Provides the (first) target of an interruption point for display in the cross-reference; only used internally.,No category,Monolingual text,Not defined,No,Yes,INTERRUPTIONPOINT_DESTINATION
24001,Automatically generated,Interruption point,Indicates whether the interruption point was generated automatically. These interruption points are created when pasting and cutting schematic elements if the Smart connect option is enabled.,No category,Boolean (True / False),Not defined,No,No,INTERRUPTIONPOINT_AUTO_CREATED
