ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
22963,Part number in accessory,Part (referenced),This property can be used in filters to determine where the part will be used as an accessory.,No category,Monolingual text,Not defined,No,Yes,PART_USED_AS_ACCESSORY_FILTER
22966,Part number in module,Part (referenced),This property can be used in filters to determine where the part will be used in a module.,No category,Monolingual text,Not defined,No,Yes,PART_USED_IN_MODULE_FILTER
22967,Part number in assembly,Part (referenced),This property can be used in filters to determine where the part will be used in an assembly.,No category,Monolingual text,Not defined,No,Yes,PART_USED_IN_ASSEMBLY_FILTER
