ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
26578,Plug-in connector (connection 2),Connection,"Specific details and properties of the plug-in connector at connection point 2, for example at a patch cable (prefabricated cable that is provided with plugs at both ends). Possible specifications are, for example, the type of plug connector, the material, etc.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_PLUG_CONNECTOR_CONNECTION_2
26580,Plug-in connector housing (connection 1),Connection,"Specific details and properties of the housing that protects the plug-in connector at connection point 1, for example at a patch cable (prefabricated cable that is provided with plugs at both ends). Possible specifications are, for example, the type of construction, the material, etc.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_CONNECTOR_HOUSING_OF_CONNECTION_1
26582,Plug-in connector housing (connection 2),Connection,"Specific details and properties of the housing that protects the plug-in connector at connection point 2, for example at a patch cable (prefabricated cable that is provided with plugs at both ends). Possible specifications are, for example, the type of construction, the material, etc.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_CONNECTOR_HOUSING_OF_THE_CONNECTION_2
26585,Shock load,Connection,Current increase as a multiple of the nominal current due to short-term current peaks or voltage peaks.,Part,Value with unit,Amperage,"Yes, 50",No,FUNC_ARTICLE_SHOCK_LOAD
26596,Current consumption,Connection,The electric current in amperes (A) required for the normal operation of a device.,Part,Value with unit,Amperage,"Yes, 50",No,FUNC_ARTICLE_CURRENT_CONSUMPTION
26598,"Current consumption, max.",Connection,The maximum electric current in amperes (A) that a device or component can draw from the mains during operation.,Part,Value with unit,Amperage,"Yes, 50",No,FUNC_ARTICLE_CURRENT_CONSUMPTION_MAX
26608,"Temperature, max.",Connection,Maximum operating temperature that a device or component can withstand safely without being damaged or functionality being impaired.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_TEMPERATURE_MAX
26610,"Temperature (medium), max.",Connection,Maximum temperature that a medium (such as a liquid or a gas) can reach while flowing through a device or component without causing damage or impairing its functionality.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_TEMPERATUR_MEDIUM_MAX
26612,"Temperature (medium), min.",Connection,Minimum temperature that a medium (such as a liquid or a gas) can reach while flowing through a device or component without causing damage or impairing its functionality.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_TEMPERATUR_MEDIUM_MIN
26614,"Temperature, min.",Connection,Minimum operating temperature that a device or component can withstand safely without being damaged or functionality being impaired.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_TEMPERATURE_MIN
26616,"Temperature range (medium), max.",Connection,Maximum temperature range that a medium (such as a liquid or a gas) can reach while flowing through a device or component without causing damage or impairing its functionality.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_TEMPERATURE_RANGE_MEDIUM_MAX
26618,"Temperature range (medium), min.",Connection,Minimum temperature range that a medium (such as a liquid or a gas) can reach while flowing through a device or component without causing damage or impairing its functionality.,Part,Value with unit,Temperature,"Yes, 50",No,FUNC_ARTICLE_TEMPERATURE_RANGE_MEDIUM_MIN
26620,Overload capability: Overcurrent,Connection,Ability to assimilate an overcurrent briefly - as a result of a current consumption exceeding the nominal current.,Part,Value with unit,Amperage,"Yes, 50",No,FUNC_ARTICLE_OVERLOAD_CAPACITY_OVERCURRENT
26622,Active power loss,Connection,"Electrical power that is lost in a device or system in the form of heat or other losses, for example because materials are remagnetized and/or heated. This power is measured in watt (W) and indicates how much energy is not converted into usable work.",Part,Value with unit,Power,"Yes, 50",No,FUNC_ARTICLE_ACTIVE_POWER_LOSS
26624,Supply voltage range,Connection,Specified value range of the voltage that can be applied to a device for supplying power.,Part,Value with unit,Voltage,"Yes, 50",No,FUNC_ARTICLE_SUPPLY_VOLTAGE_RANGE
26626,Usage for labeling type,Connection,"The way in which a product can be labeled or identified. This can include various methods and materials used for labeling, e.g. thermal printing or inkjet printing.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_USE_FOR_MARKING_TYPE
26628,Viscosity,Connection,"Measure for the viscosity of the fluid, the greater the viscosity, the more viscous (less flowable) the fluid is. This property is measured in Pascal-Seconds (Pa·s) or in the more common unit Millipascal-Seconds (mPa·s). Example: A lubricating oil has a viscosity of 100 mPa·s at 40 °C.",Part,Value with unit,Dynamic viscosity,"Yes, 50",No,FUNC_ARTICLE_VISCOSITY
26630,Viscosity index (acc. to DIN ISO 2909),Connection,"Description of a temperature-related kinematic viscosity change of a base oil or a completely formulated oil, but not its actual viscosity. The viscosity index VI is used as a measure of the temperature dependence of the viscosity in lubricating oils in the field of application. This index is calculated from the kinematic viscosity at two reference temperatures, typically 40 °C and 100 °C.",Part,Value with unit,Not defined,"Yes, 50",No,FUNC_ARTICLE_VISCOSITY_INDEX_ACCORDING_TO_DIN_ISO_2909
26632,Viscosity class (acc. to DIN 51519),Connection,Specification which minimum viscosity and which maximum viscosity the respective hydraulic oil has at 40 °C.,Part,Value with unit,Not defined,"Yes, 50",No,FUNC_ARTICLE_VISCOSITY_CLASS_ACCORDING_TO_DIN_51519
26634,Flow rate,Connection,Quantity of a medium (such as liquid or gas) which flows through a specific cross-section per unit of time.,Part,Value with unit,Flow rate,"Yes, 50",No,FUNC_ARTICLE_VOLUME_FLOW_HEATING_M3_H
26636,Maintenance interval,Connection,"Specifies the period or operating hours between two maintenance tasks. Specification of how often a maintenance has to be carried out, for example every 6 months or every 500 operating hours.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_MAINTENANCE_INTERVAL
26638,Maintenance cycle,Connection,Describes the entire sequence of maintenance activities that must be performed within a specific time period or after a specific number of hours of operation. A maintenance cycle can include multiple maintenance intervals and ensures that all necessary maintenance work is performed over time.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_MAINTENANCE_CYCLE
26642,Active power,Connection,"Electrical power in watt (W), which is actually converted into other forms of energy such as mechanical, thermal or chemical energy. The active power is a measure of how efficiently the electric energy is used.",Part,Value with unit,Power,"Yes, 50",No,FUNC_ARTICLE_ACTIVE_POWER
26644,"Active power (general power supply), max.",Connection,Maximum active power that a generating system (general power supply) can achieve under certain conditions.,Part,Value with unit,Power,"Yes, 50",No,FUNC_ARTICLE_ACTIVE_POWER_MAX_ASV
26646,"Active power (emergency power system), max.",Connection,Maximum active power that a mains replacement system (such as an emergency power unit) can supply under optimum conditions.,Part,Value with unit,Power,"Yes, 50",No,FUNC_ARTICLE_ACTIVE_POWER_MAX_NEA
26648,"Active power (uninterruptible power supply), max.",Connection,Maximum active power that can be provided by an uninterruptible power supply under optimum conditions.,Part,Value with unit,Power,"Yes, 50",No,FUNC_ARTICLE_ACTIVE_POWER_MAX_UPS
26650,Efficiency,Connection,Ratio of the usable energy to the supplied energy of a system or device. The efficiency is usually expressed as a percentage and shows how efficiently a device or machine works.,Part,Value with unit,Percentage,"Yes, 50",No,FUNC_ARTICLE_EFFICIENCY
26652,BACnet: Character set acc. to BACnet specification,Connection,Character set that fulfills the requirements of the BACnet specification.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_CHARACTER_SET_ACCORDING_TO_BACNET_SPECIFICATION
31008,Subset / length,Connection,"Subset of a part, e.g. 5 pieces of a part, which are only provided in conduits of up to 100. At parts for cables, connections and their accessories (for example shrink tubes or insulating tubes) the contents of this property is evaluated as a length with specification of the displayed measuring unit and the entry of decimal values is possible, for example ""0.7 m"". If you do not enter a unit, the unit of length specified in the project settings is used. The value entered here is synchronized with the cable length (Length field in the Cable tab of the property dialog) for the main part of a cable. Using the index, you can differentiate between 50 entries.",Part,Value with unit,Length,"Yes, 50",No,FUNC_ARTICLE_PARTIAL_LENGTH
31014,Part description,Connection,"Description of the part, carried over from parts management. Using the index, you can differentiate between 50 entries.",Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_NOTE
31040,Subset / length in unit of project,Connection,Subset or length of the part converted into the unit which is specified in the project settings. The units are not displayed.,Part,Value with unit,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_PARTIAL_LENGTH_IN_PROJECT_UNIT
31043,Subset / length with unit of project,Connection,"Subset or length of the part including unit converted into the unit which is specified in the project settings. Using the index, you can differentiate between 50 entries.",Part,Value with unit,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_PARTIAL_LENGTH_WITH_PROJECT_UNIT
31044,Quantity / subset in unit of project,Connection,"Quantity or subset of a part converted into the unit which is specified in the project settings. The units are not displayed. If the property ""Subset / length"" has a value (not 0), then this value is entered for ""Quantity / subset"" in reports, otherwise ""Quantity"" is used. Using the index, you can differentiate between 50 entries.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_QUANTITY_IN_PROJECT_UNIT
31091,Subset / length (full),Connection,"Subset of a part, entered for the function, with information about the unit. At parts for cables, connections and their accessories (for example shrink tubes or insulating tubes) the contents of this property is evaluated as a length and the entry of decimal values is possible, for example ""0.7 m"". The full value with all decimal places is always stored; the value is not rounded up. This ensures precision is retained when converting to a different unit. Using the index, you can differentiate between 50 entries.",Part,Value with unit,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_PARTIAL_LENGTH_FULL
31117,ERP / PDM number 1,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 1"" (ID 22056) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR
31167,ERP / PDM number 2,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 2"" (ID 22371) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_2
31168,ERP / PDM number 3,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 3"" (ID 22372) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_3
31169,ERP / PDM number 4,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 4"" (ID 22373) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_4
31170,ERP / PDM number 5,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 5"" (ID 22374) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_5
31171,ERP / PDM number 6,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 6"" (ID 22375) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_6
31172,ERP / PDM number 7,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 7"" (ID 22376) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_7
31173,ERP / PDM number 8,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 8"" (ID 22377) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_8
31174,ERP / PDM number 9,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 9"" (ID 22378) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_9
31175,ERP / PDM number 10,Connection,"This property can be used to filter in the project data navigators. By default, the property is preset with the value of the part property ""ERP / PDM number 10"" (ID 22379) of the associated part. During entry as many characters as you wish are possible, but only the first 64 characters in the UTF-8 format are identifying. A max. of 50 definitions can be defined using the index.",Part,Monolingual text,Not defined,"Yes, 50",Yes,FUNC_ARTICLE_ERPNR_10
31176,Jacket (cable) stripping length,Connection,Length of the area on a cable where the outer sheath is removed or can be removed.,Part,Value with unit,Length,"Yes, 50",No,FUNC_ARTICLE_STRIPPING_LENGTH
31177,Number of outputs,Connection,Number of outputs.,Part,Integer,Not defined,"Yes, 50",No,FUNC_ARTICLE_NUMBER_OF_OUTPUTS
31178,Design as maintenance / repair switch,Connection,Specification whether the switch version is suitable for use as a maintenance / repair switch on the basis of the technical properties.,Part,Boolean (True / False),Not defined,"Yes, 50",No,FUNC_ARTICLE_VERSION_AS_MAINTENANCE_REPAIR_SWITCH
31179,Connectable cable type,Connection,Cable type that can be connected to a device. The cable type describes the physical properties of the cable.,Part,Multilingual text,Not defined,"Yes, 50",No,FUNC_ARTICLE_CONNECTABLE_CABLE_TYPE
