ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
22980,Last editor,Part (base object),Shows the sign-in name of the user who last edited the record.,Revision,Monolingual text,Not defined,No,No,PART_LASTCHANGE_USER
22981,Modification date,Part (base object),Shows the date and time of the last change. The time is output in the local time of the user in accordance with the set time zone.,Revision,Time / Date,Not defined,No,No,PART_LASTCHANGE_DATE
22982,Creator,Part (base object),Shows the sign-in name of the user who created the record.,Revision,Monolingual text,Not defined,No,No,PART_CREATE_USER
22983,Creation date,Part (base object),Shows date and time when the record was created. The time is output in the local time of the user in accordance with the set time zone.,Revision,Time / Date,Not defined,No,No,PART_CREATE_DATE
22985,Creation date (UTC),Part (base object),Shows date and time when the record was created. The time is output in the Coordinated Universal Time (UTC).,Revision,Time / Date,Not defined,No,No,PART_CREATE_DATE_UTC
22986,Modification date (UTC),Part (base object),Shows the date and time of the last change. The time is output in the Coordinated Universal Time (UTC).,Revision,Time / Date,Not defined,No,No,PART_LASTCHANGE_DATE_UTC
