ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
19030,Revision marker (change tracking),Placement,"Automatically entered marker text at modified objects in a revision. The marker text is composed from a number of different properties, e.g. revision name, creator, and modification date.",Revision,Monolingual text,Not defined,No,No,INSTANCE_REVISION_LOG_MARKER
19031,Revision marker format (change tracking),Placement,Defines the formatting of the revision marker text.,Revision,Monolingual text,Not defined,No,No,INSTANCE_REVISION_LOG_MARKER_FORMAT
19032,Modification date (change tracking),Placement,Date on which an object in a revision was modified. This property is displayed by default in the automatically generated revision marker. The time is output in the local time of the user in accordance with the set time zone.,Revision,Time / Date,Not defined,No,No,INSTANCE_REVISION_LOG_DATE
19033,Creator (change tracking),Placement,Editor that changed the object in a revision. This property is displayed as standard in the automatically generated revision marker.,Revision,Monolingual text,Not defined,No,No,INSTANCE_REVISION_LOG_USER
19034,Modification time (change tracking),Placement,Time at which an object in a revision was modified. This property is displayed by default in the automatically generated revision marker. The time representation can be configured in the project settings. The time is output in the local time of the user in accordance with the set time zone.,Revision,Monolingual text,Not defined,No,Yes,INSTANCE_REVISION_LOG_TIME
