ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
14020,Creator,Form (base object),"Author of the form, plot frame or outline.",Revision,Monolingual text,Not defined,No,No,DMGDOC_CREATOR
14021,Creation date,Form (base object),"Creation date of the form, plot frame or outline. The time is output in the local time of the user in accordance with the set time zone.",Revision,Time / Date,Not defined,No,No,DMGDOC_CREATIONDATE
14022,Last editor: Sign-in name,Form (base object),"User code of the last editor of the form, plot frame or outline.",Revision,Monolingual text,Not defined,No,No,DMGDOC_LASTMODIFICATOR
14023,Modification date (automatic),Form (base object),"Date of the last change to the form, plot frame or outline. The time is output in the local time of the user in accordance with the set time zone.",Revision,Time / Date,Not defined,No,No,DMGDOC_LASTMODIFICATIONDATE
18031,Modification date (manual),Form (base object),Manually entered date of last change.,Revision,Monolingual text,Not defined,No,No,FORMBASE_MANUALDATE
18051,Version,Form (base object),"Manually entered version number of the form, plot frame or outline.",Revision,Monolingual text,Not defined,No,No,FORMBASE_VERSION
