ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
15012,Version,Symbol library,Version of the symbol library.,Revision,Monolingual text,Not defined,No,No,SYMBLIB_VERSION
15019,Company code,Symbol library,Short designation of the company that created this symbol library.,Revision,Monolingual text,Not defined,No,No,SYMBLIB_COMPANY
15020,Creator,Symbol library,Creator of the symbol library.,Revision,Monolingual text,Not defined,No,No,SYMBLIB_CREATOR
15021,Creation date,Symbol library,Creation date of the symbol library. The time is output in the local time of the user in accordance with the set time zone.,Revision,Time / Date,Not defined,No,No,SYMBLIB_CREATIONDATE
15022,Last editor: Sign-in name,Symbol library,User code of the last person to edit the symbol library.,Revision,Monolingual text,Not defined,No,No,SYMBLIB_LASTMODIFICATOR
15023,Modification date (automatic),Symbol library,Date of last change to the symbol library. The time is output in the local time of the user in accordance with the set time zone.,Revision,Time / Date,Not defined,No,No,SYMBLIB_LASTMODIFICATIONDATE
15024,Modification date (manual),Symbol library,Manually entered date of last change.,Revision,Monolingual text,Not defined,No,No,SYMBLIB_MANUALDATE
