ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
13081,Suppress data lines,Form,There can be blank data rows in reports when the output properties are blank. Blank data lines are not output if this property is selected.,Settings,Boolean (True / False),Not defined,No,No,FORM_SUPPRESS_EMPTY_LINES
13082,Separator for combined values,Form,"When several values with numbers are entered at the end of a text, the character (or character sequence) entered here is used as a separator. If the property remains blank, the character sequence ""..."" is used as a separator. Example: A1...A5 or A1-A5.",Settings,Monolingual text,Not defined,No,No,FORM_SUMUP_SEPARATOR
13083,Reuse header for new column,Form,"The header is repeated by default for every device when reporting dynamic forms. If this property is activated, the header is also repeated in each new column of the report.",Settings,Boolean (True / False),Not defined,No,No,FORM_HEADER_IN_EACH_COLUMN
13084,Connection diagram: Display all targets,Form,"If this property is activated, all targets will be output up to the first level in the connection diagram. For all other levels, only the first targets are output. In the connection diagram, the targets are placed in a row and are only entered when the connection points belong to the same device and are next to each other in the graphic. In case of several targets, the connection graphic is represented as an oblique line.",Settings,Boolean (True / False),Not defined,No,No,FORM_CONNECTIONDIAGRAM_ALLDESTINATIONS
13085,Connection diagram: Output only connected connection points at targets,Form,"This property stands for device, terminal, cable as well as pin-connection diagrams. If it is activated, only the connected connection points of the displayed targets are output. This helps to save space in the connection diagrams. This property only relates to targets and does not affect the devices, cables, terminal strips, or plugs to be evaluated. These functions are also listed in the connection diagrams. Only the connected function connection points are output at the terminal strip, e.g. in a terminal connection diagram for a motor which is the target of a terminal strip.",Settings,Boolean (True / False),Not defined,No,No,FORM_CONNECTIONDIAGRAM_ONLYCONNECTEDCP
13086,Connection diagram: Internal targets in table form,Form,"If this form property is enabled, the properties of the internal targets are displayed in table format (and not grouped) in connection diagrams. A separate row is displayed for every target. If the internal and external targets are displayed in table format, the column width of the form is not shrunk to the report page.",Settings,Boolean (True / False),Not defined,No,No,FORM_CONNECTIONDIAGRAM_TABULAR_INT
13087,Connection diagram: External targets in table form,Form,"If this form property is enabled, the properties of the external targets are displayed in table format (and not grouped) in connection diagrams. A separate row is displayed for every target. If the internal and external targets are displayed in table format, the column width of the form is not shrunk to the report page.",Settings,Boolean (True / False),Not defined,No,No,FORM_CONNECTIONDIAGRAM_TABULAR_EXT
13088,Revision output with deleted pages,Form,"If this form property is enabled, deleted pages are output in the revision overview. The option ""Pages"" must also be selected for the ""Revision output type"" property (ID 13106). Deleted pages are not output when the property is not enabled.",Settings,Boolean (True / False),Not defined,No,No,FORM_REVISIONOVERVIEW_TYPE_DELETEDPAGES
13090,Connection diagram: Do not divide targets,Form,"If this property is activated, targets in connection point diagrams are always represented completely on a report page, rather than distributed on several report pages. Terminal strips and plugs are always separated regardless of this setting, if necessary, and the separation is drawn with a dotted line.",Settings,Boolean (True / False),Not defined,No,No,FORM_CONNECTIONDIAGRAM_NOBREAKBLOCKSONPAGE
13096,Jumpers: Suppress graphic for saddle jumper option,Form,,Settings,Boolean (True / False),Not defined,No,No,FORM_SUPPRESS_SADDLE_JUMPER_POSSIBILITY
13102,Adapt row height dynamically,Form,"Adjusts the row height in dynamic forms. If a cell contains longer text that causes a line break, then only this row automatically becomes higher.",Settings,Boolean (True / False),Not defined,No,No,FORM_ADAPT_LINEHEIGHT
13103,Use new column for each device,Form,"In dynamically summarized reports, a new device (e.g. terminal strip or plug) begins in a new column.",Settings,Boolean (True / False),Not defined,No,No,FORM_NEWDEVICE_IN_NEWCOLUMN
13104,Display alignable accessories,Form,Enables/disables the display of accessories that can be aligned in reports.,Settings,Boolean (True / False),Not defined,No,No,FORM_VIEW_ACCESSORIES
13105,No line feed in data header area,Form,Controls the position of the data header area in forms. If the property is activated then the data header area is output with the next data row. If the property is deactivated then the data header area is output in its own row.,Settings,Boolean (True / False),Not defined,No,No,FORM_CAPTION_IN_DATALINE
13106,Revision output type,Form,This form property shows which revision data are output in the revision overview:,Settings,Boolean (True / False),Not defined,No,No,FORM_REVISIONOVERVIEW_TYPE
13108,Replace variable values with text,Form,"This property is only available in summarized parts lists. If it is activated, then a text - not a value - from the project settings will be output for the corresponding property in functions that have a variable defined in the placeholder object.",Settings,Boolean (True / False),Not defined,No,No,FORM_REPLACE_VAR_VALUES
13109,Symbol variant,Form,"Specifies which symbol variant is displayed for output in the form for symbols that are represented by the ""Symbol graphic"" property.",Settings,Integer,Not defined,No,No,FORM_SYMBOL_VARIANT
13110,Reuse data header area for new column,Form,"The data header area is repeated by default for every function for reporting dynamic forms. If this property is enabled, the data header area is also repeated in every new column of the report.",Settings,Boolean (True / False),Not defined,No,No,FORM_CAPTION_IN_EACH_COLUMN
13111,Combine in a line by,Form,"You specify the form properties for which identical data are to be entered in a row. For instance, you can combine the data for each page type in the table of contents. A semi-colon and the character sequence ""..."" are used as separators by default for entered values. However, you can also specify other separators via the properties ""Separator for multiple values"" and ""Separator for combined values"".",Settings,Monolingual text,Not defined,No,No,FORM_SUMMARIZE_PROPERTIES
13112,Align graphics to insertion point (without alignment box),Form,The property can be used in forms and does affect all placeholders for graphics for which the alignment box has not been activated. The handle is set at the insertion point of the placeholder text for the symbols and macros inserted via this type of placeholder.,Settings,Boolean (True / False),Not defined,No,No,FORM_USE_PHT_INSERTIONPOINT
13113,Connection point-specific output,Form,"If this property is activated, a row is generated in terminal diagrams and terminal connection diagrams for each pair of connection points. Terminals with more than two connection points are automatically split across multiple rows. In addition, terminal connection points that are not connected are output. In addition, jumpers between an internal and an external connection point are not evaluated and displayed as jumpers.",Settings,Boolean (True / False),Not defined,No,No,FORM_TERMCON_ORIENTED
13114,Output only used symbols,Form,"If this property is activated, only the symbols actually used in the project will be output in the symbol overview. If the property is deactivated, all symbols of the symbol libraries stored in the project will be output.",Settings,Boolean (True / False),Not defined,No,No,FORM_USED_SYMBOLS_ONLY
13115,Alphanumeric sorting for internal connection points,Form,"This form property is intended for use in table device connection diagrams in order to output the connection points there in an alphanumeric, collated, manner. For all connection points to be output internally and collated jointly, you must also activate the ""Summarize external and internal targets in internal targets"" (ID 13054) property. You cannot collate only external connection points.",Settings,Boolean (True / False),Not defined,No,No,FORM_SORT_INTERNAL_CP
13117,Connection diagram: Target tracking across all devices,Form,"If this property is activated, the target tracking in connection point diagrams will be continued via any devices. For the search for further targets, the Target tracking (PLC) to property is used in the connection point logic of the devices. In addition, the Connection point diagram: Output only connected connection points (ID 13085) property is evaluated as activated.",Settings,Boolean (True / False),Not defined,No,No,FORM_CONNECTIONDIAGRAM_TARGET_TRACKING_ALL
13118,Apply abbreviation rules to all structure properties,Form,,Settings,Boolean (True / False),Not defined,No,No,FORM_REDUCE_STRUCTUREPROPS
13119,Output all subordinate segments,Form,"When this form property is activated, all the subordinate segments are also determined and output for each segment in the data area of a report of the type ""Structure segment plan"" or ""Planning object plan"".",Settings,Boolean (True / False),Not defined,No,No,FORM_SUBOBJECTS_RECURSIVE
13120,Suppress property placements,Form,"This property is only available for forms of the ""Symbol overview"" type. If the property is activated, only the symbol graphics are output in the symbol overview, but not the properties displayed by default at the symbol.",Settings,Boolean (True / False),Not defined,No,No,FORM_SUPRESS_PROPERTYINSTANCES
13121,Connection diagram: Output only connected connection points,Form,"This property is only available for device connection diagrams. if it is activated, only the connected connection points of the reported device are displayed.",Settings,Boolean (True / False),Not defined,No,No,FORM_MAINEVALUATIONOBJECT_ONLYCONNECTEDCP
