ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
36026,Layout space: Connection filter,3D function,"Filter for generating routing path networks. Is used for routing to control which connections may be routed along which routing tracks (channel, manual routing path, routing range, wiring cut-out). Connection filters are taken into account only if the ""Layout space: Routing track specification"" (ID 31094) property has not been activated.",Settings,Monolingual text,Not defined,No,No,FUNCTION3D_ROUTING_CONNECTIONFILTER
36032,Output in mounting list,3D function,"If this property is activated for a 3D part placement, the 3D part placement is output when mounting lists are generated.",Settings,Boolean (True / False),Not defined,No,No,FUNCTION3D_CREATE_MOUNTINGLIST
36111,Exclude from collision check,3D function,,Settings,Boolean (True / False),Not defined,No,No,FUNCTION3D_EXCLUDE_FROM_COLLISION_CONTROL
