ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
33004,Frequency,Potential definition point,,Connection,Monolingual text,Not defined,No,No,POTENTIAL_FREQUENCE
33005,Possible counter potentials,Potential definition point,Enter here which other potentials may be connected to the same consumer. This property is only used for information purposes and can be output in the potential overview for documentation purposes.,Connection,Monolingual text,Not defined,No,No,POTENTIAL_VALID_POTENTIALS
