ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
44049,Segment template: Description,Segment template (pre-planning),Displayed name of the segment template.,General,Multilingual text,Not defined,No,No,DMPLASPECIFICATION_DESCRIPTION
44050,Segment template: Name (identifying),Segment template (pre-planning),Identifying name of the segment template. The segment template is managed in Eplan under this name.,General,Monolingual text,Not defined,No,Yes,DMPLASPECIFICATION_NAME
