ID,Designation,Object classes,Description,Category,Field type,Unit group,Index,R/O,API define
19750,X position,Mounting rail position on busbar adapters,X position of the connection point in the connection point pattern.,Data,Decimal number,Not defined,No,No,ARTICLESUPPORTBARPOSITION_XPOS
19751,Y position,Mounting rail position on busbar adapters,Y position of the connection point in the connection point pattern.,Data,Decimal number,Not defined,No,No,ARTICLESUPPORTBARPOSITION_YPOS
19752,Z position,Mounting rail position on busbar adapters,Z position of the connection point in the connection point pattern.,Data,Decimal number,Not defined,No,No,ARTICLESUPPORTBARPOSITION_ZPOS
19753,Mounting rail: Part number,Mounting rail position on busbar adapters,,Data,Monolingual text,Not defined,No,No,ARTICLESUPPORTBARPOSITION_PARTNR
19754,Mounting rail: Variant,Mounting rail position on busbar adapters,,Data,Monolingual text,Not defined,No,No,ARTICLESUPPORTBARPOSITION_VARIANT
19755,Length,Mounting rail position on busbar adapters,,Data,Decimal number,Not defined,No,No,ARTICLESUPPORTBARPOSITION_LENGTH
